,compare,snr,task,data type
486,mriqc,3.815309029086874,mriqc,snr
487,mriqc,4.852445434057827,mriqc,snr
488,mriqc,4.89023772686217,mriqc,snr
489,mriqc,5.236752915100734,mriqc,snr
490,mriqc,5.514795501274709,mriqc,snr
491,mriqc,4.781100913841313,mriqc,snr
492,mriqc,4.9965645038254625,mriqc,snr
493,mriqc,4.688039592323557,mriqc,snr
494,mriqc,4.744374059614068,mriqc,snr
495,mriqc,5.313740700537114,mriqc,snr
496,mriqc,5.578887724470279,mriqc,snr
497,mriqc,3.821637215329532,mriqc,snr
498,mriqc,5.367476986914568,mriqc,snr
499,mriqc,4.785160951574476,mriqc,snr
500,mriqc,4.73713344851022,mriqc,snr
501,mriqc,5.673576991519687,mriqc,snr
502,mriqc,5.323628112748903,mriqc,snr
503,mriqc,4.807989496295796,mriqc,snr
504,mriqc,5.243472615843288,mriqc,snr
505,mriqc,5.32049401957602,mriqc,snr
506,mriqc,5.399831363079279,mriqc,snr
507,mriqc,5.423518636523114,mriqc,snr
508,mriqc,5.311687654927268,mriqc,snr
509,mriqc,5.348876752933994,mriqc,snr
510,mriqc,5.63238712231422,mriqc,snr
511,mriqc,5.552645540861552,mriqc,snr
512,mriqc,5.518126267848038,mriqc,snr
513,mriqc,5.355008549030914,mriqc,snr
514,mriqc,5.6539068772650305,mriqc,snr
515,mriqc,5.445045247966321,mriqc,snr
516,mriqc,5.3983226089500675,mriqc,snr
517,mriqc,5.349079823506616,mriqc,snr
518,mriqc,4.948633474235808,mriqc,snr
519,mriqc,4.755826152404959,mriqc,snr
520,mriqc,5.262872616764146,mriqc,snr
521,mriqc,4.798028531213418,mriqc,snr
522,mriqc,4.809405259608991,mriqc,snr
523,mriqc,5.447288256686882,mriqc,snr
524,mriqc,4.923176231816856,mriqc,snr
525,mriqc,4.903293703374214,mriqc,snr
526,mriqc,3.833358880550539,mriqc,snr
527,mriqc,3.847402666430736,mriqc,snr
528,mriqc,5.160245852680576,mriqc,snr
529,mriqc,5.296975191618309,mriqc,snr
530,mriqc,4.756426725254997,mriqc,snr
531,mriqc,4.834769517978635,mriqc,snr
532,mriqc,4.802647625188926,mriqc,snr
533,mriqc,4.801579843347164,mriqc,snr
534,mriqc,5.229526748698717,mriqc,snr
535,mriqc,5.528627717357846,mriqc,snr
536,mriqc,5.150613289789949,mriqc,snr
537,mriqc,5.456948805222009,mriqc,snr
538,mriqc,5.347700129023101,mriqc,snr
539,mriqc,5.321807994969952,mriqc,snr
540,mriqc,5.169070313685067,mriqc,snr
541,mriqc,5.510041302137155,mriqc,snr
542,mriqc,5.154036722288825,mriqc,snr
543,mriqc,5.216596295020682,mriqc,snr
544,mriqc,5.527132433360119,mriqc,snr
545,mriqc,5.464674019463471,mriqc,snr
546,mriqc,5.334606646466146,mriqc,snr
547,mriqc,5.192496031241934,mriqc,snr
548,mriqc,4.5907921761264205,mriqc,snr
549,mriqc,4.579544099176331,mriqc,snr
550,mriqc,4.565751077218666,mriqc,snr
551,mriqc,4.781919774950998,mriqc,snr
552,mriqc,5.044564122657227,mriqc,snr
553,mriqc,4.73293269365904,mriqc,snr
554,mriqc,4.731619282128796,mriqc,snr
555,mriqc,5.059586778591076,mriqc,snr
556,mriqc,4.770263743860028,mriqc,snr
557,mriqc,5.65307042198814,mriqc,snr
558,mriqc,4.799623490800397,mriqc,snr
559,mriqc,5.189940974443377,mriqc,snr
