,compare,tsnr,task,data type
406,mriqc,58.38288879394531,mriqc,tsnr
407,mriqc,64.34968566894531,mriqc,tsnr
408,mriqc,62.2035026550293,mriqc,tsnr
409,mriqc,49.2591667175293,mriqc,tsnr
410,mriqc,57.667938232421875,mriqc,tsnr
411,mriqc,49.792598724365234,mriqc,tsnr
412,mriqc,60.63595199584961,mriqc,tsnr
413,mriqc,66.5582275390625,mriqc,tsnr
414,mriqc,55.692352294921875,mriqc,tsnr
415,mriqc,32.062843322753906,mriqc,tsnr
416,mriqc,41.544830322265625,mriqc,tsnr
417,mriqc,39.12502670288086,mriqc,tsnr
418,mriqc,38.4088134765625,mriqc,tsnr
419,mriqc,30.625091552734375,mriqc,tsnr
420,mriqc,34.56148910522461,mriqc,tsnr
421,mriqc,38.491973876953125,mriqc,tsnr
422,mriqc,37.46626663208008,mriqc,tsnr
423,mriqc,60.37487030029297,mriqc,tsnr
424,mriqc,48.967891693115234,mriqc,tsnr
425,mriqc,54.93262481689453,mriqc,tsnr
426,mriqc,53.01719665527344,mriqc,tsnr
427,mriqc,60.41020584106445,mriqc,tsnr
428,mriqc,52.367942810058594,mriqc,tsnr
429,mriqc,65.11994934082031,mriqc,tsnr
430,mriqc,52.12681579589844,mriqc,tsnr
431,mriqc,57.5565185546875,mriqc,tsnr
432,mriqc,31.1539363861084,mriqc,tsnr
433,mriqc,65.03126525878906,mriqc,tsnr
434,mriqc,48.76634216308594,mriqc,tsnr
435,mriqc,66.09603881835938,mriqc,tsnr
436,mriqc,26.55389976501465,mriqc,tsnr
437,mriqc,55.063209533691406,mriqc,tsnr
438,mriqc,51.92231750488281,mriqc,tsnr
439,mriqc,31.873628616333008,mriqc,tsnr
440,mriqc,61.356571197509766,mriqc,tsnr
441,mriqc,52.10744094848633,mriqc,tsnr
442,mriqc,51.57047653198242,mriqc,tsnr
443,mriqc,46.11579513549805,mriqc,tsnr
444,mriqc,51.89576721191406,mriqc,tsnr
445,mriqc,54.23131561279297,mriqc,tsnr
446,mriqc,48.37511444091797,mriqc,tsnr
447,mriqc,60.81700897216797,mriqc,tsnr
448,mriqc,56.3216667175293,mriqc,tsnr
449,mriqc,64.86783599853516,mriqc,tsnr
450,mriqc,42.39073181152344,mriqc,tsnr
