,compare,efc,task,data type
507,mriqc,0.537691326391984,mriqc,efc
508,mriqc,0.5366702179981806,mriqc,efc
509,mriqc,0.5263271666935017,mriqc,efc
510,mriqc,0.5325948121575274,mriqc,efc
511,mriqc,0.5561715210813049,mriqc,efc
512,mriqc,0.5220992275356446,mriqc,efc
513,mriqc,0.5256804705231919,mriqc,efc
514,mriqc,0.5530959030291023,mriqc,efc
515,mriqc,0.5309717576230556,mriqc,efc
516,mriqc,0.5195176902182748,mriqc,efc
517,mriqc,0.5361566391639185,mriqc,efc
518,mriqc,0.4914321763155154,mriqc,efc
519,mriqc,0.5685062658666081,mriqc,efc
520,mriqc,0.527959027798256,mriqc,efc
521,mriqc,0.5394636662857436,mriqc,efc
522,mriqc,0.4966883005975581,mriqc,efc
523,mriqc,0.5379228086495856,mriqc,efc
524,mriqc,0.4918846173527219,mriqc,efc
525,mriqc,0.4913810233311875,mriqc,efc
526,mriqc,0.5408876553063422,mriqc,efc
527,mriqc,0.53944578262722,mriqc,efc
528,mriqc,0.5267679105993428,mriqc,efc
529,mriqc,0.5266803780492708,mriqc,efc
530,mriqc,0.4954410599302526,mriqc,efc
531,mriqc,0.5387469924617597,mriqc,efc
532,mriqc,0.5397821549682819,mriqc,efc
533,mriqc,0.4959359089720804,mriqc,efc
534,mriqc,0.5263214171157886,mriqc,efc
535,mriqc,0.5381785980300008,mriqc,efc
536,mriqc,0.5261409806815297,mriqc,efc
537,mriqc,0.538043987679945,mriqc,efc
538,mriqc,0.5255487699838487,mriqc,efc
539,mriqc,0.5331928175798324,mriqc,efc
540,mriqc,0.5349401897482428,mriqc,efc
541,mriqc,0.5022586133341217,mriqc,efc
542,mriqc,0.5360725156357855,mriqc,efc
543,mriqc,0.5248768373435596,mriqc,efc
544,mriqc,0.5016443955843912,mriqc,efc
545,mriqc,0.5010289626556594,mriqc,efc
546,mriqc,0.5266448061645317,mriqc,efc
547,mriqc,0.5267661911712981,mriqc,efc
548,mriqc,0.5037572754705787,mriqc,efc
549,mriqc,0.5023333772908931,mriqc,efc
550,mriqc,0.503885467313877,mriqc,efc
551,mriqc,0.488826521772817,mriqc,efc
552,mriqc,0.4763034202884177,mriqc,efc
553,mriqc,0.5175328767379046,mriqc,efc
554,mriqc,0.4897048200136861,mriqc,efc
555,mriqc,0.47604168784619,mriqc,efc
556,mriqc,0.5167715110890898,mriqc,efc
557,mriqc,0.5732969282753188,mriqc,efc
558,mriqc,0.4888682797421332,mriqc,efc
559,mriqc,0.4769966190182417,mriqc,efc
560,mriqc,0.573462634502764,mriqc,efc
561,mriqc,0.5197313341636289,mriqc,efc
562,mriqc,0.504700677102714,mriqc,efc
563,mriqc,0.5755729033092796,mriqc,efc
564,mriqc,0.5379493596032398,mriqc,efc
565,mriqc,0.5028132795322622,mriqc,efc
566,mriqc,0.5371164648686907,mriqc,efc
567,mriqc,0.476760798325517,mriqc,efc
568,mriqc,0.5026234581379672,mriqc,efc
